AssessmentID;OrganisationName;Assessment;YearOfPublication;BoundaryOfAssessment;Access
1;Prefeitura de Serra Talhada;https://drive.google.com/file/d/19DMxxK532IQSLt1PdwolFXZK4Ri2mRh-/view?usp=sharing;2022;Same - covers entire jurisdiction and nothing else;public
2;City of Shenzhen; ;2022;Same - covers entire jurisdiction and nothing else;public
3;Renca;PLCC_Renca (08 Abril).pdf;2019;Same - covers entire jurisdiction and nothing else;public
4;Municipalidad Distrital de Yura;https://sigrid.cenepred.gob.pe/sigridv3/documento/15166/descargar;2022;Same - covers entire jurisdiction and nothing else;public
5;Trelleborg Municipality;https://moten.trelleborg.se/welcome-sv/namnder-styrelser/kommunstyrelsen/kommunstyrelsen/agenda/klimatanpassningsplanantagandeversional20180523-slutligpdf-1?downloadMode=open;2018;Same - covers entire jurisdiction and nothing else;public
6;Valle de Santiago;15 PMDUOET versiÃ³n INTEGRAL Cap.4-10.pdf;2021;Same - covers entire jurisdiction and nothing else;public
7;City of Boise, ID;https://www.cityofboise.org/departments/public-works/boises-energy-future/boise-climate-adaptation-assessment/;2016;Same - covers entire jurisdiction and nothing else;public
8;City of Cincinnati, OH;https://www.hamiltoncountyohio.gov/emergency_management_agency/planning;2018;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This is a county-wide plan;public
9;Prefeitura de Piraquara;http://sisvuclima.mma.gov.br/visualizar_indice/;2017;Same - covers entire jurisdiction and nothing else;public
10;Kota Kinabalu City Hall;Land use planning;2019;Same - covers entire jurisdiction and nothing else;public
11;City of San Diego, CA;climate-change-vulnerability-assessment.pdf;2020;Same - covers entire jurisdiction and nothing else;public
12;Prefeitura de SirinhaÃ©m;ÃREA RISCO PORTO DE PEDRA, USINA OUT CARMO.pdf;2023;Smaller - covers only part of the jurisdiction, please explain exclusions: Ãrea referente ao bairro de Porto de Pedra, correspondendo ao mapeamento de risco de movimento de massa e maior abrangÃªncia nas ruas Maria de Souza, Dom Marcos de Noronha, Senador Ãlvaro Uchoa.;public
13;City of Milan;https://www.comune.milano.it/documents/20126/430903598/Piano+Aria+Clima+-+Approvato+-220325.pdf/bb865fc9-f37b-a90a-b4d1-ff595e7162ef?t=1652093098404;2022;Same - covers entire jurisdiction and nothing else;public
14;Municipalidad de PeÃ±alolÃ©n;3DELIM1.PDF;2020;Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: Zona precordillerana y cordillerana de PeÃ±alolÃ©n. Incluye la principal cuenca de la comuna, abarcando comuna aledaÃ±a;public
15;Mar del Plata;PLAC Gral Pueyrredon.pdf;2022;Same - covers entire jurisdiction and nothing else;public
16;Municipalidad de Vitacura;SECAP-VITACURA_2020.pdf;2020;Same - covers entire jurisdiction and nothing else;public
