CityName;OrganisationID;OrganisationName;CountryName;CityLocation;GCoMCity;C40City
;840926;Prefeitura de Serra Talhada;Brazil;;true;false
Shenzhen;51075;City of Shenzhen;China;POINT (113.813 22.9175);false;true
;863190;Renca;Chile;;false;false
Trelleborg;60236;Trelleborg Municipality;Sweden;POINT (13.1569 55.3751);true;false
Boise;54125;City of Boise, ID;USA;;false;false
Cincinnati;35857;City of Cincinnati, OH;USA;POINT (-84.512 39.1031);true;false
Piraquara;850566;Prefeitura de Piraquara;Brazil;;false;false
San Diego;35884;City of San Diego, CA;USA;POINT (-117.163 32.7175);true;false
Milano;31173;City of Milan;Italy;POINT (9.08635 45.8026);true;true
PeÃ±alolÃ©n;60410;Municipalidad de PeÃ±alolÃ©n;Chile;POINT (-70.5302 -33.454);true;false
Mar del Plata;54607;Mar del Plata;Argentina;;false;false
Braga;55334;Municipality of Braga;Portugal;POINT (-8.43821 41.5337);true;false
Piedmont;60656;City of Piedmont, CA;USA;POINT (-122.232 37.8244);true;false
Nashville;49335;Metropolitan Government of Nashville and Davidson County, TN;USA;POINT (-86.7816 36.1627);true;false
Hutt City;59987;Hutt City Council;New Zealand;POINT (174.908 -41.2092);false;false
Ville de Kinshasa;36002;Ville de Kinshasa;Democratic Republic of the Congo;POINT (15.2663 -4.44193);true;false
Can Tho City;54396;Can Tho City;Vietname;;true;false
Manchester;35898;Greater Manchester Combined Authority;United Kingdom;POINT (-2.15783 53.4576);true;false
Saint Paul;50572;City of Saint Paul, MN;USA;POINT (-93.09 44.9537);true;false
Canberra;43928;Canberra;Australia;POINT (149.124 -35.3075);true;false
Siliguri;840122;Siliguri Municipal Corporation;India;POINT (88.4103 26.7323);true;false
Boulder;54104;City of Boulder, CO;USA;POINT (-105.252 40.0274);true;false
Nottingham;13506;Nottingham City Council;United Kingdom;;true;false
Ãgueda;55325;Municipality of Ãgueda;Portugal;POINT (-8.44582 40.5753);true;false
SÃ£o JosÃ© do Rio Preto;54614;Prefeitura da Cidade de SÃ£o JosÃ© do Rio Preto;Brazil;POINT (-49.3762 -20.8118);true;false
Toronto;31117;City of Toronto, ON;Canada;POINT (-79.3832 43.6532);true;true
Jakarta;31166;Jakarta City Government;Indonesia;POINT (106.865 -6.1751);true;true
Windsor;50578;City of Windsor, ON;Canada;POINT (-83.0364 42.3149);true;false
New Bedford;58668;City of New Bedford, MA;USA;POINT (-70.9342 41.6362);true;false
San JosÃ©, CA;35883;City of San JosÃ©, CA;USA;POINT (-121.886 37.3382);true;false
Palmas;54650;Prefeitura de Palmas;Brazil;POINT (-48.3243 -10.2491);true;false
MedellÃ­n;35873;MedellÃ­n;Colombia;POINT (-75.5735 6.22729);true;true
Santa Cruz, CA;59633;City of Santa Cruz, CA;USA;POINT (-122.031 36.9741);true;false
Rio de Janeiro;31176;Prefeitura do Rio de Janeiro;Brazil;POINT (-43.5614 -22.9054);true;true
West Palm Beach;55801;City of West Palm Beach, FL;USA;POINT (-80.0534 26.7153);true;false
Athens;31149;Municipality of Athens;Greece;POINT (23.7275 37.9838);true;true
Comas;69850;Municipalidad de Comas;Peru;POINT (-77.0667 -11.95);true;false
Manizales;54611;Alcaldia de Manizales;Colombia;;true;false
Ã…seda;859254;Uppvidinge Municipality;Sweden;;false;false
Newcastle upon Tyne;13113;Newcastle City Council;United Kingdom;;true;false
Sintra;826396;Municipality of Sintra;Portugal;POINT (-9.38811 38.7984);true;false
St. Johnâ€™s;54027;City of St. John's, NL;Canada;;true;false
YaoundÃ© 4;831618;YaoundÃ© 4;Cameroon;POINT (11.5167 3.8667);true;false
Chihuahua;50375;Ayuntamiento de Chihuahua;Mexico;POINT (-106.076 28.6368);true;false
Quezon City;54348;The Local Government of Quezon City;Philippines;POINT (120.862 15.6835);true;true
Lilongwe;60621;Lilongwe City Council;Malawi;POINT (33.7741 -13.9626);false;false
Bridgewater;60599;Town of Bridgewater, NS;Canada;POINT (-64.5188 44.3786);true;false
Santiago;31180;RegiÃ³n Metropolitana de Santiago;Chile;POINT (-70.6693 -33.4489);true;true
Durban;35863;eThekwini Municipality;South Africa;POINT (31.0218 -29.8587);true;true
Oxford;14136;Oxford City Council;United Kingdom;;true;false
BelÃ©n;58595;Municipalidad de BelÃ©n;Costa Rica;POINT (-84.1503 10.0035);true;false
Stockholm;3429;City of Stockholm;Sweden;POINT (18.0686 59.3293);true;true
Valdivia;54613;Alcaldia de Valdivia;Chile;;true;false
Wollongong;54253;Wollongong City Council;Australia;POINT (150.893 -34.4278);true;false
MÃ¼nster;54439;City of MÃ¼nster;Germany;;true;false
Huddersfield;60105;Kirklees Council;United Kingdom;;true;false
La UniÃ³n;58597;Municipalidad de La UniÃ³n;Costa Rica;POINT (-83.9833 9.91667);true;false
