EmissionID;OrganisationName;Year;TotalEmissions;GasesIncluded;ChangeFromLastYear;ReasonForChange;Scope1;Scope2;Comments;GDP;GDPCurrency;YearOfGDP;GDPSource
1;Ville de Montreal;2016;13722942;CO2 CH4 N2O;Stayed the same;We have not produced a new inventory.;13634331;88611;;1,20118E+11;CAD Canadian Dollar;2014;Ville de Montr̩al, Montr̩al en statistiques, http://ville.montreal.qc.ca/portal/page?_pageid=6897,67887843&_dad=portal&_schema=PORTAL
2;Greater Manchester;2016;14889318;CO2 PFCs CH4 SF6 N2O NF3 HFCs;Decreased;Emissions decreased from is 18.4 to 18 million tonnes between 2012 and 2013. This represents a change from our 2015 GHG emissions tonnage figure.  This is due to inclusion of scope 3 emissions included in the Basic/Basic+ element of the inventory which GM commissioned which is now compliant with  the Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI).  Previous submissions to CDP only included scope 1 and 2 emissions which drew directly from the national government DECC Local and Regional CO2 Emissions Estimates for 2005-2012 which used similar but not identical methodologies. This is part of a longer trend of decreasing emissions, punctuated with occasional increase years. Primary factors which determine the performance are the use of coal in any one year for grid electricity generation, and weather conditions during spring and autumn, where an extended heating season can occur if these are cold. A decline in total energy consumption is the most significant long term trend factor, due to the uptake of more energy efficient appliances, home adaptations, goods, services and transport;;5302028;;87773000000;;2013;UK ONS (using 1.56 USD/GBP) Figures provided is a GVA not GDP figure
3;City of Reno;2016;4437665;CO2 CH4 N2O;This is our first year of calculation;;;;;10000000000;USD US Dollar;2014;Bureau of Economic Analysis10.4
4;City of Minneapolis;2016;4794708;CO2 CH4 N2O;Increased;Heating degree days increased 5.7% over the 2013 inventory, leading to a 8.9% increase in natural gas use.  The natural gas increase was the major contributor to the overall rise.  Electricity use fell 1.2%, while other categories changed less than 1% or total contribution to the inventory was negligible and of low confidence (solid waste).;2890572;1904136;;2,357E+11;USD US Dollar;2014;http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=3#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=33460&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels
5;City of London, ON;2016;3070000;CO2 CH4 N2O;Increased;"Winter temperatures in 2014 were below normal (i.e., the ""Polar Vortex"") compared to 2013 (normal winter temperatures) and the unusually warm winter of 2012. As a result, overall natural gas use was up by eight percent in 2014 compared to 2013. Total greenhouse gas emissions from London have decreased compared to the peak in 2007. In 2014, greenhouse gas emissions were 19 percent lower than 2007. In fact, London's emissions in 2014 were six percent lower than the 1990 level used to benchmark emission reduction efforts. This is below the Kyoto Protocol objective (six percent below 1990) that Canada had previously committed to.							
							
Greenhouse gas emissions associated with electricity are significantly lower in 2014 (about 80 percent) than their peak in 2003. In 2014, only 0.1 percent of Ontario's electricity demand was generated by burning coal as these plants were shut down, and 10 percent was generated by burning natural gas. The rest of Ontario's electricity demand was met with emissions-free generation: 62 percent nuclear, 24 percent hydroelectric, 4 percent wind and other renewables.							
							
Conservation and peak demand reduction programs also contribute to lower emissions from power generation. Unfortunately, lower demand from the economic slow-down in manufacturing sector also contributes to lower emissions.";2771000;299000;;15400000000;CAD Canadian Dollar;2014;Conference Board of Canada, London Census Metropolitan Area data prorated by population and adjusted to 2007
6;Ville de Lausanne;2016;499573;CO2;Decreased;see SEAP;456843;45730;;8834000000;;2014;calculated by city government
7;City of Columbus;2016;10983600;CO2 CH4 N2O;Decreased;Greenhouse gas emissions increased 5% since our baseline emission inventory of 2013, but decreased since the 2014 inventory by 4%.;5487400;5496200;;1,08089E+11;USD US Dollar;2014;https://development.ohio.gov/files/research/E1001.pdf
8;M̩tropole Nice C̫te d'Azur;2016;3352154;CO2 PFCs CH4 SF6 N2O HFCs;;;;;;;;;
9;Incheon Metropolitan City;2016;69794140;CO2 PFCs CH4 SF6 N2O NF3 HFCs;Increased;GHG emissions saw a 2.2% increase due to a comprehensive increase in Scope 1 energy usage related to increase in population, households, GRDP, and motor vehicles caused by the development of new cities such as Songdo, Cheongna and Yeongjong.;57719912;12074228;;6,8373E+13;KRW South Korean Won;2014;KOSIS
10;City of Chicago;2016;33500000;CO2 PFCs CH4 SF6 N2O NF3 HFCs;Stayed the same;The City of Chicago's next planned comprehensive Citywide GHG Emissions Inventory is in-progress, based on 2015 emissions.;;;;5,63188E+11;;2014;Brookings Institution
